,moive name,English name,star,year,length,vote num,director,scriptwriter,type,actor,Domestic,International,Worldwide,imdb str
14,阿飞正传 阿飛正傳,Days of Being Wild,8.5,1990,94分钟,356711,王家卫,王家卫,剧情/爱情/犯罪,张国荣/张曼玉/刘嘉玲/刘德华/张学友/潘迪华/梁朝伟,"$146,310","$2,955,580","$3,101,890",tt0101258
15,新龙门客栈 新龍門客棧,Dragon Inn,8.6,1992,88分钟,314830,李惠民,徐克/张炭/吕晓禾/司徒慧焯/何冀平/苏叔阳,动作/爱情/武侠/古装,张曼玉/林青霞/梁家辉/甄子丹/熊欣欣/刘洵/任世官/吴启华/袁祥仁/徐锦江/郑希怡/王彤川/王伟顺/蔡浩,获取失败,获取失败,获取失败,tt0105859
16,源代码 Source Code,Source Code,8.4,2011,93分钟,601341,邓肯·琼斯,本·雷普利,科幻/悬疑/惊悚,杰克·吉伦哈尔/维拉·法米加/米歇尔·莫纳汉/杰弗里·怀特/拉塞尔·皮特斯/詹姆斯·A·伍兹/迈克尔·阿登/乔·柯布登 /卡斯·安瓦尔,"$54,712,227","$92,620,470","$147,332,697",tt0945513
17,香水 Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,8.5,2006,147分钟,416499,汤姆·提克威,安德鲁·伯金/贝尔恩德·艾辛格/汤姆·提克威/帕特里克·聚斯金德,剧情/犯罪/奇幻,本·卫肖/艾伦·瑞克曼/蕾切儿·哈伍德/达斯汀·霍夫曼/大卫·卡尔德/比吉特·米尼希迈尔/卡洛斯·格拉马赫/西恩·托马斯/佩里·米尔沃德/山姆·道格拉斯/卡洛琳·赫弗斯/卡罗丽娜·维拉·斯克利亚/莎拉·弗里斯蒂/科琳娜·哈弗奇/杰西卡·施瓦茨/约翰·赫特,"$2,223,293","$132,816,631","$135,039,924",tt0396171
18,青蛇,Green Snake,8.5,1993,99分钟,363647,徐克,李碧华/徐克,剧情/爱情/奇幻/古装,张曼玉/王祖贤/赵文卓/吴兴国/马精武/田丰/刘洵,获取失败,获取失败,获取失败,tt0106559
19,谍影重重2 The Bourne Supremacy,The Bourne Supremacy,8.7,2004,108分钟,258571,保罗·格林格拉斯,罗伯特·鲁德鲁姆/托尼·吉尔罗伊,动作/悬疑/惊悚,马特·达蒙/弗朗卡·波滕特/布莱恩·考克斯/朱丽娅·斯蒂尔斯/卡尔·厄本/琼·艾伦/加布里埃尔·曼/马尔顿·索克斯/约翰·贝德福德·劳埃德/伊桑·桑德勒/米歇尔·莫纳汉/卡瑞尔·罗登/托马斯·阿拉纳/奥莎娜·阿金什那/汤姆·加洛普,"$176,241,941","$114,593,328","$290,835,269",tt0372183
20,地球上的星星 Taare Zameen Par,Like Stars on Earth,8.9,2007,165分钟,148718,阿米尔·汗,阿莫尔·古普特,剧情/家庭/儿童,达席尔·萨法瑞/阿米尔·汗/塔奈·切赫达/萨谢·英吉尼尔/蒂丝卡·乔普拉/维品·沙尔马/拉利塔·拉伊米/吉里贾·奥克/拉维·汗维尔卡尔/普拉蒂玛·库尔卡尼/梅娜·马里克/索纳利·萨查德夫/桑贾伊·达迪克/拉加·戈帕尔·耶尔/布格斯·巴尔加瓦/尚卡尔·萨查德夫/M·K·拉伊纳,"$1,223,869","$20,673,504","$21,897,373",tt0986264
21,色，戒,"Lust, Caution",8.5,2007,158分钟,478483,李安,王蕙玲/詹姆斯·夏慕斯/张爱玲,剧情/爱情/情色,梁朝伟/汤唯/陈冲/王力宏/庹宗华/朱芷莹/高英轩/柯宇纶/阮德锵/钱嘉乐/苏岩/何赛飞/宋茹惠/樊光耀/卢燕/刘洁/余娅/王琳/王侃/竹下明子/阿努潘·凯尔,"$4,604,982","$62,486,933","$67,091,915",tt0808357
22,谍影重重 The Bourne Identity,The Bourne Identity,8.6,2002,119分钟,308939,道格·里曼,托尼·吉尔罗伊/罗伯特·鲁德鲁姆/W·布莱克·赫伦,动作/悬疑/惊悚,马特·达蒙/弗朗卡·波滕特/克里斯·库珀/克莱夫·欧文/朱丽娅·斯蒂尔斯/布莱恩·考克斯/阿德沃尔·阿吉纽依-艾格拜吉/加布里埃尔·曼/沃尔顿·戈金斯/约什·汉密尔顿/奥尔索·马利亚·奎利尼,"$121,661,683","$92,372,541","$214,034,224",tt0258463
23,战争之王 Lord of War,Lord of War,8.6,2005,122 分钟,259809,安德鲁·尼科尔,安德鲁·尼科尔,剧情/犯罪,尼古拉斯·凯奇/布丽姬·穆娜/杰瑞德·莱托/伊安·霍姆/伊桑·霍克/叶夫盖尼·拉扎列夫/伊默恩·沃克/塔尼特·菲尼克斯,"$24,149,632","$48,467,436","$72,617,068",tt0399295
24,血钻 Blood Diamond,Blood Diamond,8.7,2006,143 分钟,251442,爱德华·兹威克,查尔斯·里维特,剧情/惊悚/冒险,莱昂纳多·迪卡普里奥/杰曼·翰苏/詹妮弗·康纳利/阿诺德·沃斯洛/大卫·哈雷伍德/吉米·米斯特雷/麦克·辛/史蒂芬·柯林斯,"$57,377,916","$114,342,482","$171,720,398",tt0450259
0,遗愿清单 The Bucket List,The Bucket List,8.6,2007,97 分钟,262391,罗伯·莱纳,贾斯汀·扎克汉姆,剧情/喜剧/冒险,杰克·尼科尔森/摩根·弗里曼/西恩·海耶斯/贝弗利·陶德/罗伯·莫洛/阿方索·弗里曼/罗文娜·金/韦尔达·布里奇斯/伊恩·安东尼·代尔/詹妮弗·迪弗朗西斯科/安吉拉·加德纳/诺尔·古格雷米/乔纳森·赫尔南德斯/休·B·赫鲁伯/理查德·麦克格纳格尔/丸山凯伦/安波米德/尼基·诺瓦克/克里斯托弗·斯塔普勒顿/泰勒.安.汤普森/亚历克斯·崔贝克/Annton Berry Jr./Destiny Brownridge/Brian Copeland/Jordan Lund/Jonathan Mangum/Serena Reeder/MaShae Alderman/Vin Scully,"$93,466,502","$81,906,000","$175,372,502",tt0825232
1,大佛普拉斯,The Great Buddha +,8.7,2017,102分钟,269652,黄信尧,黄信尧,剧情/喜剧/犯罪,庄益增/陈竹昇/戴立忍/张少怀/陈以文/纳豆/丁国琳/李永丰/朱约信/雷婕熙/林美秀/小亮哥/游安顺/梁赫群/脱线/郑宇彤/鲁文学,获取失败,获取失败,获取失败,tt7010412
2,猜火车 Trainspotting,Trainspotting,8.5,1996,94分钟,337797,丹尼·博伊尔,埃文·威尔什/约翰·霍奇,剧情/犯罪,伊万·麦克格雷格/艾文·布莱纳/约翰尼·李·米勒/凯文·麦克基德/罗伯特·卡莱尔/凯莉·麦克唐纳/彼得·穆兰/詹姆斯·科兹莫/艾琳·尼古拉斯/苏珊·维德勒/波林·林奇/雪莉·亨德森/斯图尔特·麦克奎里/埃文·威尔什/戴尔·温顿/基思·艾伦/凯文·艾伦/菲奥娜·贝尔/休·罗斯/芬利·威尔士/汤姆·德尔玛/约翰·霍奇/安德鲁·麦克唐纳/Stuart McGugan,"$16,491,080","$102,276","$16,593,356",tt0117951
